,title,genre,gross,tickets_sold,budget,url,rating,agerating,releaseyear
0,Avengers: Endgame,Action,"$858,373,000 ","93,708,843",400000000,https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt,8.4,PG-13,2019
1,The Lion King,Adventure,"$543,638,043 ","59,349,131",260000000,https://www.imdb.com/title/tt6105098/?ref_=adv_li_tt,6.8,PG,2019
2,Frozen II,Adventure,"$450,439,533 ","49,174,621",150000000,https://www.imdb.com/title/tt4520988/?ref_=adv_li_tt,6.8,PG,2019
4,Toy Story 4,Adventure,"$434,038,008 ","47,384,062",200000000,https://www.imdb.com/title/tt1979376/?ref_=adv_li_tt,7.7,G,2019
5,Captain Marvel,Action,"$426,829,839 ","46,597,144",175000000,https://www.imdb.com/title/tt4154664/?ref_=adv_li_tt,6.8,PG-13,2019
6,Aladdin,Adventure,"$355,559,216 ","38,816,508",182000000,https://www.imdb.com/title/tt6139732/?ref_=adv_li_tt,6.9,PG,2019
7,Joker,Thriller/Suspense,"$333,772,511 ","36,438,047",55000000,https://www.imdb.com/title/tt7286456/?ref_=adv_li_tt,8.4,R,2019
9,Jumanji: The Next Level,Adventure,"$192,094,536 ","20,971,019",125000000,https://www.imdb.com/title/tt7975244/?ref_=adv_li_tt,6.7,PG-13,2019
11,Us,Thriller/Suspense,"$175,084,580 ","19,114,037",20000000,https://www.imdb.com/title/tt6857112/?ref_=adv_li_tt,6.8,R,2019
12,The Secret Life of Pets 2,Adventure,"$158,874,395 ","17,344,366",80000000,https://www.imdb.com/title/tt5113040/?ref_=adv_li_tt,6.4,PG,2019
13,Shazam!,Action,"$140,371,656 ","15,324,417",85000000,https://www.imdb.com/title/tt0448115/?ref_=adv_li_tt,7.0,PG-13,2019
14,Knives Out,Drama,"$130,119,450 ","14,205,180",40000000,https://www.imdb.com/title/tt8946378/?ref_=adv_li_tt,7.9,PG-13,2019
16,Dumbo,Adventure,"$114,766,307 ","12,529,073",170000000,https://www.imdb.com/title/tt3861390/?ref_=adv_li_tt,6.3,PG,2019
17,Maleficent: Mistress of Evil,Adventure,"$113,294,737 ","12,368,421",185000000,https://www.imdb.com/title/tt4777008/?ref_=adv_li_tt,6.6,PG,2019
19,Glass,Thriller/Suspense,"$111,048,468 ","12,123,195",20000000,https://www.imdb.com/title/tt6823368/?ref_=adv_li_tt,6.6,PG-13,2019
20,Godzilla: King of the Monsters,Action,"$110,500,138 ","12,063,334",170000000,https://www.imdb.com/title/tt3741700/?ref_=adv_li_tt,6.0,PG-13,2019
21,Hustlers,Drama,"$104,962,986 ","11,458,841",20700000,https://www.imdb.com/title/tt5503686/?ref_=adv_li_tt,6.3,R,2019
23,The Addams Family,Adventure,"$97,185,807 ","10,609,804",24000000,https://www.imdb.com/title/tt1620981/?ref_=adv_li_tt,5.8,PG,2019
25,Rocketman,Drama,"$96,368,160 ","10,520,541",41000000,https://www.imdb.com/title/tt2066051/?ref_=adv_li_tt,7.3,R,2019
26,Alita: Battle Angel,Action,"$85,710,210 ","9,357,009",170000000,https://www.imdb.com/title/tt0437086/?ref_=adv_li_tt,7.3,PG-13,2019
28,Good Boys,Comedy,"$83,140,306 ","9,076,453",20000000,https://www.imdb.com/title/tt6977338/?ref_=adv_li_tt,6.7,R,2019
29,Men in Black: International,Adventure,"$80,001,807 ","8,733,821",110000000,https://www.imdb.com/title/tt2283336/?ref_=adv_li_tt,5.6,PG-13,2019
30,Annabelle Comes Home,Horror,"$74,152,591 ","8,095,261",27000000,https://www.imdb.com/title/tt8350360/?ref_=adv_li_tt,5.9,R,2019
31,Zombieland: Double Tap,Comedy,"$73,027,571 ","7,972,442",48000000,https://www.imdb.com/title/tt1560220/?ref_=adv_li_tt,6.7,R,2019
33,Little Women,Drama,"$70,502,828 ","7,696,815",42000000,https://www.imdb.com/title/tt3281548/?ref_=adv_li_tt,7.8,PG,2019
35,Angel Has Fallen,Thriller/Suspense,"$69,030,436 ","7,536,073",40000000,https://www.imdb.com/title/tt6189022/?ref_=adv_li_tt,6.4,R,2019
36,Terminator: Dark Fate,Action,"$62,253,077 ","6,796,187",185000000,https://www.imdb.com/title/tt6450804/?ref_=adv_li_tt,6.2,R,2019
37,Abominable,Adventure,"$60,679,265 ","6,624,374",75000000,https://www.imdb.com/title/tt6324278/?ref_=adv_li_tt,7.0,PG,2019
39,Dora and the Lost City of Gold,Adventure,"$60,477,943 ","6,602,395",49000000,https://www.imdb.com/title/tt7547410/?ref_=adv_li_tt,6.1,PG,2019
40,Midway,Action,"$56,547,282 ","6,173,284",100000000,https://www.imdb.com/title/tt6924650/?ref_=adv_li_tt,6.7,PG-13,2019
42,The Curse of La Llorona,Horror,"$54,733,739 ","5,975,299",9000000,https://www.imdb.com/title/tt4913966/?ref_=adv_li_tt,5.2,R,2019
43,Pet Sematary,Horror,"$54,724,696 ","5,974,311",21000000,https://www.imdb.com/title/tt0837563/?ref_=adv_li_tt,5.7,R,2019
44,What Men Want,Romantic Comedy,"$54,611,903 ","5,961,998",20000000,https://www.imdb.com/title/tt7634968/?ref_=adv_li_tt,5.3,R,2019
45,Ad Astra,Thriller/Suspense,"$50,188,370 ","5,479,079",80000000,https://www.imdb.com/title/tt2935510/?ref_=adv_li_tt,6.5,PG-13,2019
46,Gemini Man,Action,"$48,546,770 ","5,299,865",140000000,https://www.imdb.com/title/tt1025100/?ref_=adv_li_tt,5.7,PG-13,2019
47,Spies in Disguise,Adventure,"$47,042,421 ","5,135,635",100000000,https://www.imdb.com/title/tt5814534/?ref_=adv_li_tt,6.8,PG,2019
49,Five Feet Apart,Drama,"$45,729,221 ","4,992,273",7000000,https://www.imdb.com/title/tt6472976/?ref_=adv_li_tt,7.2,PG-13,2019
50,Wonder Park,Adventure,"$45,216,793 ","4,936,331",100000000,https://www.imdb.com/title/tt6428676/?ref_=adv_li_tt,5.8,PG,2019
51,Rambo: Last Blood,Action,"$44,819,352 ","4,892,942",50000000,https://www.imdb.com/title/tt1206885/?ref_=adv_li_tt,6.1,R,2019
52,Harriet,Drama,"$42,547,700 ","4,644,945",17000000,https://www.imdb.com/title/tt4648786/?ref_=adv_li_tt,6.7,PG-13,2019
54,A Dog's Way Home,Drama,"$41,952,715 ","4,579,990",61000000,https://www.imdb.com/title/tt7616798/?ref_=adv_li_tt,6.7,PG,2019
55,The Angry Birds Movie 2,Adventure,"$41,657,076 ","4,547,715",65000000,https://www.imdb.com/title/tt6095472/?ref_=adv_li_tt,6.4,PG,2019
56,Queen & Slim,Drama,"$40,718,945 ","4,445,300",20000000,https://www.imdb.com/title/tt8722346/?ref_=adv_li_tt,7.1,R,2019
58,Breakthrough,Drama,"$40,713,082 ","4,444,659",14000000,https://www.imdb.com/title/tt7083526/?ref_=adv_li_tt,6.2,PG,2019
59,Crawl,Horror,"$39,014,193 ","4,259,191",17000000,https://www.imdb.com/title/tt8364368/?ref_=adv_li_tt,6.1,R,2019
60,Escape Room,Horror,"$38,762,584 ","4,231,723",9000000,https://www.imdb.com/title/tt5886046/?ref_=adv_li_tt,6.4,PG-13,2019
61,The Hustle,Comedy,"$35,417,038 ","3,866,488",21000000,https://www.imdb.com/title/tt1298644/?ref_=adv_li_tt,5.4,PG-13,2019
62,The Intruder,Thriller/Suspense,"$35,388,976 ","3,863,425",8000000,https://www.imdb.com/title/tt6722030/?ref_=adv_li_tt,5.6,PG-13,2019
63,Last Christmas,Romantic Comedy,"$35,116,450 ","3,833,674",30000000,https://www.imdb.com/title/tt8623904/?ref_=adv_li_tt,6.5,PG-13,2019
64,Overcomer,Drama,"$34,700,142 ","3,788,225",5000000,https://www.imdb.com/title/tt8186318/?ref_=adv_li_tt,6.6,PG,2019
65,Cold Pursuit,Thriller/Suspense,"$32,138,862 ","3,508,609",60000000,https://www.imdb.com/title/tt5719748/?ref_=adv_li_tt,6.2,R,2019
66,Doctor Sleep,Horror,"$31,543,097 ","3,443,570",45000000,https://www.imdb.com/title/tt5606664/?ref_=adv_li_tt,7.3,R,2019
68,Long Shot,Romantic Comedy,"$30,316,271 ","3,309,636",40000000,https://www.imdb.com/title/tt2139881/?ref_=adv_li_tt,6.8,R,2019
69,Ready or Not,Black Comedy,"$28,714,231 ","3,134,741",6000000,https://www.imdb.com/title/tt7798634/?ref_=adv_li_tt,6.8,R,2019
70,21 Bridges,Thriller/Suspense,"$28,265,017 ","3,085,700",33000000,https://www.imdb.com/title/tt8688634/?ref_=adv_li_tt,6.6,R,2019
72,Happy Death Day 2U,Thriller/Suspense,"$28,148,130 ","3,072,940",9000000,https://www.imdb.com/title/tt8155288/?ref_=adv_li_tt,6.2,PG-13,2019
73,Midsommar,Horror,"$27,426,363 ","2,994,144",9000000,https://www.imdb.com/title/tt8772262/?ref_=adv_li_tt,7.1,R,2019
74,The Art of Racing in the Rain,Drama,"$26,402,818 ","2,882,403",18000000,https://www.imdb.com/title/tt1478839/?ref_=adv_li_tt,7.5,PG,2019
75,Countdown,Horror,"$25,617,813 ","2,796,704",6500000,https://www.imdb.com/title/tt10039344/?ref_=adv_li_tt,5.4,PG-13,2019
77,Bombshell,Drama,"$24,589,972 ","2,684,494",32000000,https://www.imdb.com/title/tt6394270/?ref_=adv_li_tt,6.8,R,2019
79,A Dog's Journey,Drama,"$22,782,371 ","2,487,158",16000000,https://www.imdb.com/title/tt8385474/?ref_=adv_li_tt,7.4,PG,2019
80,Booksmart,Comedy,"$22,680,962 ","2,476,087",6000000,https://www.imdb.com/title/tt1489887/?ref_=adv_li_tt,7.1,R,2019
81,Stuber,Comedy,"$22,370,452 ","2,442,189",16000000,https://www.imdb.com/title/tt7734218/?ref_=adv_li_tt,6.2,R,2019
82,47 Meters Down: Uncaged,Thriller/Suspense,"$22,260,900 ","2,430,229",12000000,https://www.imdb.com/title/tt7329656/?ref_=adv_li_tt,5.0,PG-13,2019
