movie,genre,gross,tickets_sold
Avengers: Endgame,Action,"$858,373,000 ","93,708,843"
The Lion King,Adventure,"$543,638,043 ","59,349,131"
Frozen II,Adventure,"$450,439,533 ","49,174,621"
Toy Story 4,Adventure,"$434,038,008 ","47,384,062"
Captain Marvel,Action,"$426,829,839 ","46,597,144"
Star Wars: The Rise of Skyw...,Adventure,"$390,706,234 ","42,653,519"
Spider-Man: Far From Home,Action,"$390,532,085 ","42,634,507"
Aladdin,Adventure,"$355,559,216 ","38,816,508"
Joker,Thriller/Suspense,"$333,772,511 ","36,438,047"
It: Chapter Two,Horror,"$211,593,228 ","23,099,697"
Jumanji: The Next Level,Adventure,"$192,094,536 ","20,971,019"
Us,Thriller/Suspense,"$175,084,580 ","19,114,037"
Fast & Furious Presents: Ho...,Action,"$173,956,935 ","18,990,932"
John Wick: Chapter 3 - Para...,Action,"$171,015,687 ","18,669,834"
How to Train Your Dragon: T...,Adventure,"$160,799,505 ","17,554,531"
The Secret Life of Pets 2,Adventure,"$158,874,395 ","17,344,366"
Pokémon: Detective Pikachu,Adventure,"$144,105,346 ","15,732,025"
Once Upon a Time...in Hollywo...,Thriller/Suspense,"$141,096,530 ","15,403,551"
Shazam!,Action,"$140,371,656 ","15,324,417"
Aquaman,Action,"$136,001,983 ","14,847,378"
Knives Out,Drama,"$130,119,450 ","14,205,180"
Dumbo,Adventure,"$114,766,307 ","12,529,073"
Maleficent: Mistress of Evil,Adventure,"$113,294,737 ","12,368,421"
Glass,Thriller/Suspense,"$111,048,468 ","12,123,195"
Godzilla: King of the Monsters,Action,"$110,500,138 ","12,063,334"
Ford v. Ferrari,Drama,"$109,976,339 ","12,006,150"
The Upside,Comedy,"$108,235,497 ","11,816,102"
The LEGO Movie 2: The Secon...,Adventure,"$105,806,508 ","11,550,929"
Hustlers,Drama,"$104,962,986 ","11,458,841"
The Addams Family,Adventure,"$97,185,807 ","10,609,804"
Downton Abbey,Drama,"$96,853,865 ","10,573,566"
