title,url,rating,agerating,oldreleaseyear,releaseyear
Black Panther: Wakanda Forever,https://www.imdb.com/title/tt9114286/?ref_=adv_li_tt,7.3,PG-13,2022,2022
Enola Holmes 2,https://www.imdb.com/title/tt14641788/?ref_=adv_li_tt,6.8,PG-13,2022,2022
The Whale,https://www.imdb.com/title/tt13833688/?ref_=adv_li_tt,8.5,R,2022,2022
Don't Worry Darling,https://www.imdb.com/title/tt10731256/?ref_=adv_li_tt,6.2,R,2022,2022
All Quiet on the Western Front,https://www.imdb.com/title/tt1016150/?ref_=adv_li_tt,7.9,R,2022,2022
Barbarian,https://www.imdb.com/title/tt15791034/?ref_=adv_li_tt,7.1,R,2022,2022
Black Adam,https://www.imdb.com/title/tt6443346/?ref_=adv_li_tt,6.9,PG-13,2022,2022
Enola Holmes,https://www.imdb.com/title/tt7846844/?ref_=adv_li_tt,6.6,PG-13,2020,2020
My Policeman,https://www.imdb.com/title/tt13139228/?ref_=adv_li_tt,6.5,R,2022,2022
See How They Run,https://www.imdb.com/title/tt13640696/?ref_=adv_li_tt,6.5,PG-13,2022,2022
Smile,https://www.imdb.com/title/tt15474916/?ref_=adv_li_tt,6.7,R,2022,2022
The Good Nurse,https://www.imdb.com/title/tt4273800/?ref_=adv_li_tt,6.9,R,-2022,2022
Glass Onion: A Knives Out Mystery,https://www.imdb.com/title/tt11564570/?ref_=adv_li_tt,8,PG-13,-2022,2022
The Banshees of Inisherin,https://www.imdb.com/title/tt11813216/?ref_=adv_li_tt,8.2,R,-2022,2022
Bullet Train,https://www.imdb.com/title/tt12593682/?ref_=adv_li_tt,7.3,R,-2022,2022
Top Gun: Maverick,https://www.imdb.com/title/tt1745960/?ref_=adv_li_tt,8.4,PG-13,-2022,2022
Causeway,https://www.imdb.com/title/tt10192406/?ref_=adv_li_tt,6.5,R,-2022,2022
X,https://www.imdb.com/title/tt13560574/?ref_=adv_li_tt,6.6,R,2022,2022
The Woman King,https://www.imdb.com/title/tt8093700/?ref_=adv_li_tt,6.7,PG-13,-2022,2022
Amsterdam,https://www.imdb.com/title/tt10304142/?ref_=adv_li_tt,6.1,R,-2022,2022
Ticket to Paradise,https://www.imdb.com/title/tt14109724/?ref_=adv_li_tt,6.2,PG-13,-2022,2022
The School for Good and Evil,https://www.imdb.com/title/tt2935622/?ref_=adv_li_tt,5.8,PG-13,-2022,2022
The Menu,https://www.imdb.com/title/tt9764362/?ref_=adv_li_tt,7.5,R,-2022,2022
A Christmas Story Christmas,https://www.imdb.com/title/tt17220704/?ref_=adv_li_tt,6.9,PG,-2022,2022
Pearl,https://www.imdb.com/title/tt18925334/?ref_=adv_li_tt,7,R,-2022,2022
Triangle of Sadness,https://www.imdb.com/title/tt7322224/?ref_=adv_li_tt,7.9,R,-2022,2022
The Fabelmans,https://www.imdb.com/title/tt14208870/?ref_=adv_li_tt,8.3,PG-13,-2022,2022
Spirited,https://www.imdb.com/title/tt10999120/?ref_=adv_li_tt,6,PG-13,-2022,2022
The Bad Guys,https://www.imdb.com/title/tt8115900/?ref_=adv_li_tt,6.8,PG,-2022,2022
Disenchanted,https://www.imdb.com/title/tt1596342/?ref_=adv_li_tt,6.2,PG,-2022,2022
Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/?ref_=adv_li_tt,8.1,R,-2022,2022
Nope,https://www.imdb.com/title/tt10954984/?ref_=adv_li_tt,6.9,R,-2022,2022
Thor: Love and Thunder,https://www.imdb.com/title/tt10648342/?ref_=adv_li_tt,6.3,PG-13,-2022,2022
On the Line,https://www.imdb.com/title/tt14824590/?ref_=adv_li_tt,5.3,R,2022,2022
One Piece Film: Red,https://www.imdb.com/title/tt16183464/?ref_=adv_li_tt,6.9,PG-13,-2022,2022
She Said,https://www.imdb.com/title/tt14807308/?ref_=adv_li_tt,7.3,R,-2022,2022
R.I.P.D. 2: Rise of the Damned,https://www.imdb.com/title/tt21094994/?ref_=adv_li_tt,4.4,PG-13,-2022,2022
The Batman,https://www.imdb.com/title/tt1877830/?ref_=adv_li_tt,7.9,PG-13,-2022,2022
Where the Crawdads Sing,https://www.imdb.com/title/tt9411972/?ref_=adv_li_tt,7.1,PG-13,-2022,2022
